crawl_district,title,price,price_unit,price_per_sqm,room_type,area,orientation,floor,year,community,district,business_area,location,tags,url,crawl_time
昌平,金色漫香苑 大三居 明厨明卫 有钥匙 采光好,398,万,27745元/㎡,3室2厅2卫,143.45,南北,低层(共8层),2013,金色漫香苑,昌平,北七家,昌平 北七家 天权路2号,南北 热门小区 优势户型 价格优惠,https://bj.58.com/ershoufang/3303062936461323x.shtml?auction=220&hpType=60&entry=102&position=19&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_19&from=from_esf_List_screen&index=19,2025-11-28 13:36:18
昌平,朱辛庄次新房紧邻地铁 万科物业，东西南高楼层，70年住宅,303,万,34534元/㎡,2室1厅1卫,87.74,东西,高层(共19层),2018,TBD住总万科天地(8号院),昌平,回龙观,昌平 回龙观 安居路8号,东西 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4286506392083457x.shtml?auction=220&hpType=60&entry=102&position=20&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_20&from=from_esf_List_screen&index=20,2025-11-28 13:36:18
昌平,望京四站17号线 地铁口精装现房三居室有钥匙随时看房,428,万,41154元/㎡,3室2厅1卫,104,南北,低层(共25层),2024,未来公元(南区),昌平,北七家,昌平 北七家 岭上路,南北 满二年 近地铁 次新房,https://bj.58.com/ershoufang/3846715322248193x.shtml?auction=220&hpType=60&entry=102&position=21&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_21&from=from_esf_List_screen&index=21,2025-11-28 13:36:18
昌平,安家 西三旗 金榜园 三层 南北两居室 采光好 靠谱出售,398,万,46703元/㎡,2室1厅1卫,85.22,南北,中层(共6层),2003,金榜园,昌平,回龙观,昌平 回龙观 京藏高速,南北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/3713399758613510x.shtml?auction=220&hpType=60&entry=102&position=22&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_22&from=from_esf_List_screen&index=22,2025-11-28 13:36:18
昌平,万科物业直营 华府二期南向大两居  优户型,399,万,44676元/㎡,2室2厅1卫,89.31,南北,高层(共27层),2014,金域华府东(金域华府二期),昌平,龙域,昌平 龙域 龙域北街1号,南北 近地铁,https://bj.58.com/ershoufang/3388095097266178x.shtml?auction=220&hpType=60&entry=102&position=23&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_23&from=from_esf_List_screen&index=23,2025-11-28 13:36:18
昌平,满五采光好82平2室1厅，南北通透电梯房，周边商圈成熟,349,万,42339元/㎡,2室1厅1卫,82.43,南北,高层(共9层),2011,领秀慧谷A区(三区),昌平,回龙观,昌平 回龙观 农学院北路9号,南北 满五年 近地铁,https://bj.58.com/ershoufang/4317726753070094x.shtml?auction=220&hpType=60&entry=102&position=24&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_24&from=from_esf_List_screen&index=24,2025-11-28 13:36:18
昌平,熙园，新上精装修样板间，南向客厅挑空，,1690,万,49259元/㎡,7室3厅7卫,343.09,东西,共2层,2016,御汤山熙园,昌平,小汤山北,"昌平 小汤山北 顺沙路,近秦上路",东西 热门小区 房东急售 随时可看,https://bj.58.com/ershoufang/4051909001616389x.shtml?auction=220&hpType=60&entry=102&position=25&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_25&from=from_esf_List_screen&index=25,2025-11-28 13:36:18
昌平,南北双通透两居，客厅落地窗大阳台，稳定签约,312,万,35295元/㎡,2室1厅1卫,88.4,南北,中层(共6层),2003,龙锦苑二区,昌平,回龙观,昌平 回龙观 科星西路,南北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4245492165942286x.shtml?auction=220&hpType=60&entry=102&position=26&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_26&from=from_esf_List_screen&index=26,2025-11-28 13:36:18
昌平,北七家龙冠冠华苑棠棣园2室2厅,212,万,23645元/㎡,2室2厅1卫,89.66,南,中层(共15层),2018,龙冠冠华苑棠棣园,昌平,北七家,昌平 北七家 定泗路103号,南 满五年 采光较好,https://bj.58.com/ershoufang/4143780906967043x.shtml?auction=220&hpType=60&entry=102&position=27&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_27&from=from_esf_List_screen&index=27,2025-11-28 13:36:18
昌平,回龙观融泽嘉园12号院，南北通透3居，满五年  ，随时看,430,万,41331元/㎡,3室1厅1卫,104.04,南北,低层(共31层),2014,融泽嘉园12号院,昌平,龙域,昌平 龙域 龙域中路12号,经纪人力荐 南北 有电梯 近地铁,https://bj.58.com/ershoufang/4030695919836168x.shtml?auction=220&hpType=60&entry=102&position=28&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_28&from=from_esf_List_screen&index=28,2025-11-28 13:36:18
昌平,急售，有钥匙随时看房。电梯叠拼别墅，客厅南向有阳台双卧朝南,470,万,28080元/㎡,3室2厅3卫,167.38,南北,中层(共6层),2007,北京洋房,昌平,北七家,昌平 北七家 七星路216号,南北 满五年 车位充足 多人关注,https://bj.58.com/ershoufang/3996853856066570x.shtml?auction=220&hpType=60&entry=102&position=29&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_29&from=from_esf_List_screen&index=29,2025-11-28 13:36:18
昌平,天通苑北二区南北通透厅南大三居,429,万,32764元/㎡,3室1厅2卫,130.94,南北,低层(共6层),2005,天通苑北二区,昌平,天通苑,昌平 天通苑 太平庄中二街,南北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4336210985312258x.shtml?auction=220&hpType=60&entry=102&position=30&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_30&from=from_esf_List_screen&index=30,2025-11-28 13:36:18
昌平,小汤山新上三居室，精装修，南北通透，双明卫，位置好，出行方便,280,万,22893元/㎡,3室1厅2卫,122.31,南北,中层(共14层),2012,纳帕澜郡,昌平,小汤山北,昌平 小汤山北 沙顺路88号,热门小区 南北通透 价格优惠,https://bj.58.com/ershoufang/4182115547963392x.shtml?auction=220&hpType=60&entry=102&position=31&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_31&from=from_esf_List_screen&index=31,2025-11-28 13:36:18
昌平,北七家龙冠冠华苑棠棣园3室1厅,205,万,22959元/㎡,3室1厅1卫,89.29,南北,中层(共18层),2018,龙冠冠华苑棠棣园,昌平,北七家,昌平 北七家 定泗路103号,南北 满五年 采光较好 多人关注,https://bj.58.com/ershoufang/4243142683614211x.shtml?auction=220&hpType=60&entry=102&position=32&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_32&from=from_esf_List_screen&index=32,2025-11-28 13:36:18
昌平,金科廊桥大两房 南北通透 楼层好 低容积 环境优美 装修好,330,万,35870元/㎡,2室2厅1卫,92,南北,中层(共6层),2013,金科廊桥水岸,昌平,南邵镇,昌平 南邵镇 景文东路,南北 满五年 绿化率高,https://bj.58.com/ershoufang/4132684870606863x.shtml?auction=220&hpType=60&entry=102&position=33&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_33&from=from_esf_List_screen&index=33,2025-11-28 13:36:18
昌平,总监推荐 新上南向2居 商5   落地窗阳台 有钥匙 近地铁,345,万,39152元/㎡,2室1厅1卫,88.12,南,低层(共31层),2016,融泽嘉园西6号院,昌平,龙域,昌平 龙域 龙域西二路6号,南 有电梯 近地铁,https://bj.58.com/ershoufang/3307276113468421x.shtml?auction=220&hpType=60&entry=102&position=34&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_34&from=from_esf_List_screen&index=34,2025-11-28 13:36:18
昌平,远洋傲北  3居2卫精装  有电梯 南北通透 小区环境好,438,万,31772元/㎡,3室2厅2卫,137.86,南北,低层(共6层),2017,远洋傲北,昌平,北七家,昌平 北七家 立汤路36号,南北 满五年 绿化率高,https://bj.58.com/ershoufang/3993851108990982x.shtml?auction=220&hpType=60&entry=102&position=35&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_35&from=from_esf_List_screen&index=35,2025-11-28 13:36:18
昌平,天通苑北 不临街东边户 全明户型  电梯洋房,265,万,29944元/㎡,2室2厅1卫,88.5,南北,低层(共8层),2014,金色漫香苑,昌平,北七家,昌平 北七家 天权路2号,南北 满五年 采光较好,https://bj.58.com/ershoufang/4309285242626056x.shtml?auction=220&hpType=60&entry=102&position=36&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_36&from=from_esf_List_screen&index=36,2025-11-28 13:36:18
昌平,奥北别墅 上二下一 双拼 独栋现房 挑高9.9  全明双车位,1265,万,25300元/㎡,6室4厅5卫,500,南北,共3层,2018,北辰红橡墅,昌平,小汤山南,昌平 小汤山南 立汤路7号,南北 热门小区 配套成熟 随时可看,https://bj.58.com/ershoufang/3970987804516362x.shtml?auction=220&hpType=60&entry=102&position=37&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_37&from=from_esf_List_screen&index=37,2025-11-28 13:36:18
昌平,东一八大金刚电梯三朝阳户型无遮挡视野好看房方便价格可谈急售,402,万,24382元/㎡,3室2厅2卫,164.88,西南,低层(共32层),2001,天通东苑一区,昌平,天通苑,昌平 天通苑 太平庄东路,经纪人力荐 西南 满五年 近地铁,https://bj.58.com/ershoufang/4250185157271552x.shtml?auction=220&hpType=60&entry=102&position=38&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_38&from=from_esf_List_screen&index=38,2025-11-28 13:36:18
昌平,新上保利罗兰香谷C1户型大三居室每个房间都很方正 中间楼层,339,万,36689元/㎡,3室2厅1卫,92.4,南北,低层(共15层),2014,保利罗兰香谷,昌平,沙河,昌平 沙河 沙阳路34号,南北 满五年 户型方正,https://bj.58.com/ershoufang/3753233853688844x.shtml?auction=220&hpType=60&entry=102&position=39&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_39&from=from_esf_List_screen&index=39,2025-11-28 13:36:18
昌平,金隅万科城  高楼层  采光好  交通便捷,300,万,33735元/㎡,3室1厅1卫,88.93,东南,中层(共28层),2011,金隅万科城,昌平,昌平县城,昌平 昌平县城 南环路10号,东南 近地铁,https://bj.58.com/ershoufang/3952400772258825x.shtml?auction=220&hpType=60&entry=102&position=40&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_40&from=from_esf_List_screen&index=40,2025-11-28 13:36:18
昌平,保利罗兰香谷 精装好房 南北通透 低密度社区 集中供暖,345,万,37500元/㎡,4室2厅1卫,92,南北,中层(共15层),2015,保利罗兰香谷,昌平,沙河,昌平 沙河 沙阳路34号,南北 满五年 户型方正,https://bj.58.com/ershoufang/4313868339716108x.shtml?auction=220&hpType=60&entry=102&position=41&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_41&from=from_esf_List_screen&index=41,2025-11-28 13:36:18
昌平,环境好小区 新上 南北通透两居室 精装修 拎包住省时省心,308.8,万,32444元/㎡,2室2厅1卫,95.18,南北,高层(共7层),2005,天通苑北三区,昌平,天通苑,昌平 天通苑 太平庄中二街,南北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4169432409104398x.shtml?auction=220&hpType=60&entry=102&position=42&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_42&from=from_esf_List_screen&index=42,2025-11-28 13:36:18
昌平,南北通透 2室2厅 电梯房 86平 楼层好 视野无遮挡,449,万,51788元/㎡,2室2厅1卫,86.7,南北,中层(共6层),2012,领秀慧谷C区(一区),昌平,回龙观,昌平 回龙观 农学院北路9号,南北 满二年 近地铁 多人关注,https://bj.58.com/ershoufang/4288149913574406x.shtml?auction=220&hpType=60&entry=102&position=43&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_43&from=from_esf_List_screen&index=43,2025-11-28 13:36:18
昌平,高教园五区南北通透两居室 随时看房 诚心出售 高楼层视野好,319,万,36445元/㎡,2室1厅1卫,87.53,南北,高层(共18层),2012,北街家园(五区),昌平,沙河,昌平 沙河 北沙河西五路,南北 满五年 近地铁 绿化率高,https://bj.58.com/ershoufang/4336514408374278x.shtml?auction=220&hpType=60&entry=102&position=44&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_44&from=from_esf_List_screen&index=44,2025-11-28 13:36:18
昌平,招商都会湾(二期) 两室一厅一卫,345,万,38957元/㎡,2室1厅1卫,88.56,南北,低层(共11层),2021,招商都会湾(二期),昌平,南邵镇,昌平 南邵镇 文智路18号,南北 满二年 近地铁 次新房,https://bj.58.com/ershoufang/4116828890508300x.shtml?auction=220&hpType=60&entry=102&position=45&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_45&from=from_esf_List_screen&index=45,2025-11-28 13:36:18
昌平,金科帕提欧89顶层观景电梯复式，精装好房，直接入住,298,万,31100元/㎡,3室3厅2卫,95.82,南北,高层(共8层),2011,金科帕提欧,昌平,小汤山北,昌平 小汤山北 沙顺路91号,南北 满五年,https://bj.58.com/ershoufang/4137007763382287x.shtml?auction=220&hpType=60&entry=102&position=46&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_46&from=from_esf_List_screen&index=46,2025-11-28 13:36:18
昌平,北一区双地铁南北两居，总监推荐户型,409,万,34750元/㎡,2室2厅2卫,117.7,南北,高层(共13层),2005,天通苑北一区,昌平,天通苑,昌平 天通苑 太平庄中二街,南北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4312218924985346x.shtml?auction=220&hpType=60&entry=102&position=47&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_47&from=from_esf_List_screen&index=47,2025-11-28 13:36:18
昌平,全明格局 客厅朝南 全屋地暖 南北通透 次顶层 价格能谈,380,万,42769元/㎡,2室1厅1卫,88.85,南北,高层(共10层),2021,招商都会湾(二期),昌平,南邵镇,昌平 南邵镇 文智路18号,南北 满二年 近地铁 次新房,https://bj.58.com/ershoufang/4201661637877764x.shtml?auction=220&hpType=60&entry=102&position=48&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_48&from=from_esf_List_screen&index=48,2025-11-28 13:36:18
昌平,TBD住总万科天地(8号院) 小三居 商品房次新房  临地铁,303,万,34538元/㎡,3室1厅1卫,87.73,南北,高层(共19层),2019,TBD住总万科天地(8号院),昌平,回龙观,昌平 回龙观 安居路8号,南北 满五年 近地铁 多人关注,https://bj.58.com/ershoufang/4288453294775304x.shtml?auction=220&hpType=60&entry=102&position=49&kwtype=filter&now_time=1764308178&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=57552194-e4d3-45dc-9cf6-293870400383_49&from=from_esf_List_screen&index=49,2025-11-28 13:36:18
